SNo,County or equivalent,State or district,Rank,Population,Core Based Statistical Area,Combined Statistical Area
317,Kent County,Delaware,373,"1,67,626","Dover, DE Metropolitan Statistical Area","Philadelphia-Reading-Camden, PA-NJ-DE-MD Combined Statistical Area"
318,New Castle County,Delaware,116,"5,46,076","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","Philadelphia-Reading-Camden, PA-NJ-DE-MD Combined Statistical Area"
319,Sussex County,Delaware,308,"2,03,390","Salisbury, MD-DE Metropolitan Statistical Area",
320,District of Columbia,District of Columbia,99,"6,32,323","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
321,Alachua County,Florida,263,"2,51,417","Gainesville, FL Metropolitan Statistical Area","Gainesville-Lake City, FL Combined Statistical Area"
322,Baker County,Florida,1528,27086,"Jacksonville, FL Metropolitan Statistical Area","Jacksonville-St. Marys-Palatka, FL-GA Combined Statistical Area"
323,Bay County,Florida,363,"1,71,903","Panama City, FL Metropolitan Statistical Area",
324,Bradford County,Florida,1529,27049,,
325,Brevard County,Florida,115,"5,47,307","Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",
326,Broward County,Florida,17,"18,15,137","Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area","Miami-Fort Lauderdale-Port St. Lucie, FL Combined Statistical Area"
327,Calhoun County,Florida,2127,14723,,
328,Charlotte County,Florida,386,"1,62,449","Punta Gorda, FL Metropolitan Statistical Area","North Port-Sarasota, FL Combined Statistical Area"
329,Citrus County,Florida,449,"1,39,360","Homosassa Springs, FL Metropolitan Statistical Area",
330,Clay County,Florida,327,"1,94,345","Jacksonville, FL Metropolitan Statistical Area","Jacksonville-St. Marys-Palatka, FL-GA Combined Statistical Area"
331,Collier County,Florida,197,"3,32,427","Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area","Cape Coral-Fort Myers-Naples, FL Combined Statistical Area"
332,Columbia County,Florida,781,67966,"Lake City, FL Micropolitan Statistical Area","Gainesville-Lake City, FL Combined Statistical Area"
333,DeSoto County,Florida,1308,34712,"Arcadia, FL Micropolitan Statistical Area","North Port-Sarasota, FL Combined Statistical Area"
334,Dixie County,Florida,2036,16126,,
335,Duval County,Florida,59,"8,79,602","Jacksonville, FL Metropolitan Statistical Area","Jacksonville-St. Marys-Palatka, FL-GA Combined Statistical Area"
336,Escambia County,Florida,215,"3,02,715","Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",
337,Flagler County,Florida,596,98359,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area","Orlando-Deltona-Daytona Beach, FL Combined Statistical Area"
338,Franklin County,Florida,2318,11686,,
339,Gadsden County,Florida,1039,46528,"Tallahassee, FL Metropolitan Statistical Area","Tallahassee-Bainbridge, FL-GA Combined Statistical Area"
340,Gilchrist County,Florida,1993,16815,"Gainesville, FL Metropolitan Statistical Area","Gainesville-Lake City, FL Combined Statistical Area"
341,Glades County,Florida,2235,13107,,
342,Gulf County,Florida,2061,15718,"Panama City, FL Metropolitan Statistical Area",
343,Hamilton County,Florida,2128,14708,,
344,Hardee County,Florida,1513,27514,"Wauchula, FL Micropolitan Statistical Area",
345,Hendry County,Florida,1234,37447,"Clewiston, FL Micropolitan Statistical Area",
346,Hernando County,Florida,360,"1,73,422","Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",
347,Highlands County,Florida,598,98128,"Sebring, FL Metropolitan Statistical Area",
348,Hillsborough County,Florida,29,"12,77,746","Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",
349,Holmes County,Florida,1845,19804,,
350,Indian River County,Florida,446,"1,40,567","Sebastian-Vero Beach, FL Metropolitan Statistical Area","Miami-Fort Lauderdale-Port St. Lucie, FL Combined Statistical Area"
351,Jackson County,Florida,1000,48968,,
352,Jefferson County,Florida,2157,14256,"Tallahassee, FL Metropolitan Statistical Area","Tallahassee-Bainbridge, FL-GA Combined Statistical Area"
353,Lafayette County,Florida,2532,8804,,
354,Lake County,Florida,214,"3,03,186","Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Deltona-Daytona Beach, FL Combined Statistical Area"
355,Lee County,Florida,96,"6,45,293","Cape Coral-Fort Myers, FL Metropolitan Statistical Area","Cape Coral-Fort Myers-Naples, FL Combined Statistical Area"
356,Leon County,Florida,233,"2,83,769","Tallahassee, FL Metropolitan Statistical Area","Tallahassee-Bainbridge, FL-GA Combined Statistical Area"
357,Levy County,Florida,1172,40025,,
358,Liberty County,Florida,2587,8276,,
359,Madison County,Florida,1878,18907,,
360,Manatee County,Florida,196,"3,33,895","North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area","North Port-Sarasota, FL Combined Statistical Area"
361,Marion County,Florida,195,"3,35,125","Ocala, FL Metropolitan Statistical Area",
362,Martin County,Florida,423,"1,48,817","Port St. Lucie, FL Metropolitan Statistical Area","Miami-Fort Lauderdale-Port St. Lucie, FL Combined Statistical Area"
363,Miami-Dade County,Florida,7,"25,91,035","Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area","Miami-Fort Lauderdale-Port St. Lucie, FL Combined Statistical Area"
364,Monroe County,Florida,730,74809,"Key West, FL Micropolitan Statistical Area",
365,Nassau County,Florida,733,74629,"Jacksonville, FL Metropolitan Statistical Area","Jacksonville-St. Marys-Palatka, FL-GA Combined Statistical Area"
366,Okaloosa County,Florida,333,"1,90,083","Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",
367,Okeechobee County,Florida,1183,39467,"Okeechobee, FL Micropolitan Statistical Area","Miami-Fort Lauderdale-Port St. Lucie, FL Combined Statistical Area"
368,Orange County,Florida,33,"12,02,234","Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Deltona-Daytona Beach, FL Combined Statistical Area"
369,Osceola County,Florida,229,"2,87,416","Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Deltona-Daytona Beach, FL Combined Statistical Area"
370,Palm Beach County,Florida,27,"13,56,545","Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area","Miami-Fort Lauderdale-Port St. Lucie, FL Combined Statistical Area"
371,Pasco County,Florida,141,"4,70,391","Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",
372,Pinellas County,Florida,53,"9,21,319","Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",
373,Polk County,Florida,105,"6,16,158","Lakeland-Winter Haven, FL Metropolitan Statistical Area",
374,Putnam County,Florida,741,73263,"Palatka, FL Micropolitan Statistical Area","Jacksonville-St. Marys-Palatka, FL-GA Combined Statistical Area"
375,St. Johns County,Florida,312,"2,02,188","Jacksonville, FL Metropolitan Statistical Area","Jacksonville-St. Marys-Palatka, FL-GA Combined Statistical Area"
376,St. Lucie County,Florida,232,"2,83,866","Port St. Lucie, FL Metropolitan Statistical Area","Miami-Fort Lauderdale-Port St. Lucie, FL Combined Statistical Area"
377,Santa Rosa County,Florida,397,"1,58,512","Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",
378,Sarasota County,Florida,174,"3,86,147","North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area","North Port-Sarasota, FL Combined Statistical Area"
379,Seminole County,Florida,158,"4,30,838","Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","Orlando-Deltona-Daytona Beach, FL Combined Statistical Area"
380,Sumter County,Florida,576,"1,01,620","The Villages, FL Metropolitan Statistical Area","Orlando-Deltona-Daytona Beach, FL Combined Statistical Area"
381,Suwannee County,Florida,1094,43656,,
382,Taylor County,Florida,1697,22744,,
383,Union County,Florida,2091,15212,,
384,Volusia County,Florida,135,"4,96,950","Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area","Orlando-Deltona-Daytona Beach, FL Combined Statistical Area"
385,Wakulla County,Florida,1414,30818,"Tallahassee, FL Metropolitan Statistical Area","Tallahassee-Bainbridge, FL-GA Combined Statistical Area"
386,Walton County,Florida,886,57582,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",
387,Washington County,Florida,1613,24892,,
388,Appling County,Georgia,1903,18368,,
389,Atkinson County,Georgia,2586,8284,,
390,Bacon County,Georgia,2346,11198,,
391,Baker County,Georgia,2951,3366,"Albany, GA Metropolitan Statistical Area",
392,Baldwin County,Georgia,1042,46367,"Milledgeville, GA Micropolitan Statistical Area",
393,Banks County,Georgia,1907,18316,,
394,Barrow County,Georgia,760,70169,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
395,Bartow County,Georgia,583,"1,00,661","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
396,Ben Hill County,Georgia,1946,17538,"Fitzgerald, GA Micropolitan Statistical Area",
397,Berrien County,Georgia,1871,19041,,
398,Bibb County,Georgia,402,"1,56,462","Macon, GA Metropolitan Statistical Area","Macon-Warner Robins, GA Combined Statistical Area"
399,Bleckley County,Georgia,2249,12913,,
400,Brantley County,Georgia,1893,18587,"Brunswick, GA Metropolitan Statistical Area",
401,Brooks County,Georgia,2079,15403,"Valdosta, GA Metropolitan Statistical Area",
402,Bryan County,Georgia,1385,32214,"Savannah, GA Metropolitan Statistical Area","Savannah-Hinesville-Statesboro, GA Combined Statistical Area"
403,Bulloch County,Georgia,746,72694,"Statesboro, GA Micropolitan Statistical Area","Savannah-Hinesville-Statesboro, GA Combined Statistical Area"
404,Burke County,Georgia,1684,23125,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",
405,Butts County,Georgia,1662,23524,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
406,Calhoun County,Georgia,2723,6504,,
407,Camden County,Georgia,963,51402,"St. Marys, GA Micropolitan Statistical Area","Jacksonville-St. Marys-Palatka, FL-GA Combined Statistical Area"
408,Candler County,Georgia,2352,11117,,
409,Carroll County,Georgia,540,"1,11,580","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
410,Catoosa County,Georgia,810,65046,"Chattanooga, TN-GA Metropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
411,Charlton County,Georgia,2225,13295,,
412,Chatham County,Georgia,239,"2,76,434","Savannah, GA Metropolitan Statistical Area","Savannah-Hinesville-Statesboro, GA Combined Statistical Area"
413,Chattahoochee County,Georgia,2239,13037,"Columbus, GA-AL Metropolitan Statistical Area","Columbus-Auburn-Opelika, GA-AL Combined Statistical Area"
414,Chattooga County,Georgia,1578,25725,"Summerville, GA Micropolitan Statistical Area","Rome-Summerville, GA Combined Statistical Area"
415,Cherokee County,Georgia,286,"2,21,315","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
416,Clarke County,Georgia,507,"1,20,266","Athens-Clarke County, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
417,Clay County,Georgia,2967,3116,,
418,Clayton County,Georgia,251,"2,65,888","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
419,Clinch County,Georgia,2706,6718,,
420,Cobb County,Georgia,84,"7,07,442","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
421,Coffee County,Georgia,1103,43170,"Douglas, GA Micropolitan Statistical Area",
422,Colquitt County,Georgia,1046,46137,"Moultrie, GA Micropolitan Statistical Area",
423,Columbia County,Georgia,476,"1,31,627","Augusta-Richmond County, GA-SC Metropolitan Statistical Area",
424,Cook County,Georgia,1988,16923,,
425,Coweta County,Georgia,478,"1,30,929","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
426,Crawford County,Georgia,2266,12600,"Macon, GA Metropolitan Statistical Area","Macon-Warner Robins, GA Combined Statistical Area"
427,Crisp County,Georgia,1658,23606,"Cordele, GA Micropolitan Statistical Area",
428,Dade County,Georgia,2013,16490,"Chattanooga, TN-GA Metropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
429,Dawson County,Georgia,1713,22422,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
430,Decatur County,Georgia,1514,27509,"Bainbridge, GA Micropolitan Statistical Area","Tallahassee-Bainbridge, FL-GA Combined Statistical Area"
431,DeKalb County,Georgia,86,"7,07,089","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
432,Dodge County,Georgia,1766,21329,,
433,Dooly County,Georgia,2149,14318,,
434,Dougherty County,Georgia,613,94501,"Albany, GA Metropolitan Statistical Area",
435,Douglas County,Georgia,468,"1,33,971","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
436,Early County,Georgia,2391,10594,,
437,Echols County,Georgia,2907,3988,"Valdosta, GA Metropolitan Statistical Area",
438,Effingham County,Georgia,933,53293,"Savannah, GA Metropolitan Statistical Area","Savannah-Hinesville-Statesboro, GA Combined Statistical Area"
439,Elbert County,Georgia,1850,19684,,
440,Emanuel County,Georgia,1694,22898,,
441,Evans County,Georgia,2381,10689,,
442,Fannin County,Georgia,1663,23492,,
443,Fayette County,Georgia,552,"1,07,524","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
444,Floyd County,Georgia,607,96177,"Rome, GA Metropolitan Statistical Area","Rome-Summerville, GA Combined Statistical Area"
445,Forsyth County,Georgia,337,"1,87,928","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
446,Franklin County,Georgia,1737,21894,,
447,Fulton County,Georgia,43,"9,77,773","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
448,Gilmer County,Georgia,1484,28190,,
449,Glascock County,Georgia,2966,3142,,
450,Glynn County,Georgia,682,81022,"Brunswick, GA Metropolitan Statistical Area",
451,Gordon County,Georgia,905,55766,"Calhoun, GA Micropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
452,Grady County,Georgia,1590,25440,,
453,Greene County,Georgia,2039,16092,,
454,Gwinnett County,Georgia,63,"8,42,046","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
455,Habersham County,Georgia,1099,43520,"Cornelia, GA Micropolitan Statistical Area",
456,Hall County,Georgia,340,"1,85,416","Gainesville, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
457,Hancock County,Georgia,2522,8996,"Milledgeville, GA Micropolitan Statistical Area",
458,Haralson County,Georgia,1473,28400,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
459,Harris County,Georgia,1373,32550,"Columbus, GA-AL Metropolitan Statistical Area","Columbus-Auburn-Opelika, GA-AL Combined Statistical Area"
460,Hart County,Georgia,1585,25518,,
461,Heard County,Georgia,2321,11633,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
462,Henry County,Georgia,300,"2,09,053","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
463,Houston County,Georgia,435,"1,46,136","Warner Robins, GA Metropolitan Statistical Area","Macon-Warner Robins, GA Combined Statistical Area"
464,Irwin County,Georgia,2463,9600,,
465,Jackson County,Georgia,854,60571,"Jefferson, GA Micropolitan Statistical Area","Atlanta–Athens-Clarke County–Sandy Springs, GA Combined Statistical Area"
